Giornata	Squadra Casa	Squadra Ospite
35	udinese	torino
35	bologna	lecce
35	monza	sassuolo
35	salernitana	atalanta
35	spezia	inter
35	hellas_verona	juventus
35	cremonese	roma
35	napoli	sampdoria
--------------------------------------------------
36	inter	roma
36	udinese	milan
36	bologna	torino
36	monza	lazio
36	lecce	fiorentina
36	spezia	atalanta
36	hellas_verona	sassuolo
36	sampdoria	juventus
36	cremonese	salernitana
36	napoli	empoli
--------------------------------------------------
37	inter	salernitana
37	lazio	cremonese
37	fiorentina	juventus
37	udinese	roma
37	monza	milan
37	empoli	sassuolo
37	lecce	torino
37	spezia	bologna
37	hellas_verona	sampdoria
37	napoli	atalanta
--------------------------------------------------
38	inter	sassuolo
38	fiorentina	spezia
38	torino	roma
38	udinese	juventus
38	bologna	lazio
38	monza	cremonese
38	empoli	hellas_verona
38	salernitana	sampdoria
38	lecce	atalanta
38	napoli	milan
--------------------------------------------------
